date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2.5,PM2.5_24h,SO2,SO2_24h
20190224,0,Jiayuguan,Gansu,136.0,0.8,0.9,51.0,30.0,40.0,100.0,80.0,89.0,220.0,188.0,69.0,55.0,9.0,23.0
20190224,0,Jieyang,Guangdong,46.0,1.0,0.9670000000000001,20.0,19.0,39.0,85.0,64.0,78.0,33.0,34.0,32.0,19.0,6.0,8.0
20190224,0,Jilin,Jilin,47.0,0.7140000000000001,0.971,17.0,30.0,85.0,116.0,93.0,105.0,46.0,101.0,29.0,78.0,14.0,19.0
20190224,0,Jinan,Shandong,192.0,2.437,1.85,125.0,104.0,9.0,116.0,40.0,90.0,247.0,207.0,144.0,133.0,52.0,39.0
20190224,0,Jinchang,Gansu,51.0,0.633,0.733,11.0,14.0,77.0,104.0,91.0,101.0,50.0,83.0,14.0,35.0,3.0,8.0
20190224,0,Jincheng,Shanxi,149.0,1.817,2.7,71.0,52.0,44.0,162.0,98.0,148.0,187.0,257.0,114.0,193.0,23.0,23.0
20190224,0,Jingdezhen,Jiangxi,32.0,0.66,0.68,6.0,7.0,31.0,43.0,37.0,40.0,31.0,22.0,17.0,15.0,4.0,5.0
20190224,0,Jingmen,Hubei,141.0,1.06,0.94,49.0,30.0,39.0,107.0,71.0,88.0,121.0,113.0,107.0,98.0,10.0,11.0
20190224,0,Jingzhou,Hubei,105.0,1.033,0.9329999999999999,45.0,32.0,31.0,90.0,60.0,78.0,128.0,107.0,78.0,66.0,10.0,13.0
20190224,0,Jinhua,Zhejiang,42.0,0.6,0.733,23.0,24.0,45.0,75.0,36.0,67.0,32.0,33.0,29.0,25.0,4.0,5.0
20190224,0,Jining,Shandong,143.0,1.767,1.5,127.0,76.0,17.0,139.0,70.0,126.0,184.0,157.0,109.0,95.0,31.0,30.0
20190224,0,Jinzhong,Shanxi,132.0,1.475,1.325,92.0,62.0,9.0,115.0,49.0,90.0,137.0,116.0,100.0,75.0,50.0,44.0
20190224,0,Jinzhou,Liaoning,81.0,1.08,1.26,86.0,54.0,12.0,87.0,44.0,74.0,77.0,84.0,59.0,54.0,57.0,62.0
20190224,0,Jiujiang,Jiangxi,99.0,0.7879999999999999,0.622,31.0,19.0,30.0,76.0,55.0,64.0,56.0,51.0,74.0,46.0,8.0,6.0
20190224,0,Jiuquan,Gansu,70.0,0.8,0.75,36.0,25.0,58.0,103.0,75.0,90.0,88.0,107.0,39.0,32.0,11.0,18.0
20190224,0,Jixi,Heilongjiang,37.0,0.5,0.55,11.0,17.0,74.0,80.0,64.0,75.0,36.0,38.0,15.0,24.0,9.0,9.0
20190224,0,Kaifeng,Henan,231.0,1.85,1.425,116.0,64.0,22.0,168.0,82.0,154.0,219.0,198.0,180.0,171.0,15.0,15.0
20190224,0,Karamay,Xinjiang,83.0,0.9,0.88,19.0,20.0,84.0,98.0,89.0,92.0,85.0,83.0,61.0,54.0,7.0,7.0
20190224,0,Kunming,Yunnan,57.0,1.05,0.675,49.0,28.0,37.0,89.0,64.0,81.0,62.0,48.0,36.0,31.0,18.0,14.0
20190224,0,Laibin,Guangxi,30.0,0.7,0.7,14.0,12.0,42.0,51.0,46.0,48.0,21.0,18.0,21.0,16.0,6.0,6.0
20190224,0,Laiwu,Shandong,179.0,1.633,1.567,116.0,88.0,24.0,141.0,80.0,126.0,201.0,191.0,135.0,134.0,41.0,43.0
20190224,0,Langfang,Hebei,285.0,2.225,2.05,78.0,71.0,62.0,166.0,118.0,138.0,304.0,234.0,234.0,178.0,15.0,14.0
20190224,0,Lanzhou,Gansu,55.0,0.583,1.1,21.0,45.0,68.0,97.0,65.0,77.0,58.0,77.0,34.0,42.0,7.0,16.0
20190224,0,Leshan,Sichuan,85.0,0.86,1.16,26.0,44.0,54.0,57.0,27.0,27.0,75.0,107.0,62.0,90.0,5.0,8.0
20190224,0,Lhasa,Xizang,63.0,0.483,0.5670000000000001,6.0,14.0,69.0,80.0,60.0,75.0,73.0,38.0,17.0,10.0,3.0,4.0
20190224,0,Lianyungang,Jiangsu,117.0,1.34,1.44,70.0,56.0,54.0,128.0,77.0,113.0,118.0,148.0,88.0,106.0,27.0,25.0
20190224,0,Liaocheng,Shandong,232.0,2.3,1.7,118.0,72.0,20.0,156.0,60.0,138.0,251.0,205.0,181.0,153.0,16.0,18.0
20190224,0,Liaoyang,Liaoning,71.0,1.325,2.525,46.0,70.0,56.0,115.0,48.0,80.0,78.0,189.0,51.0,142.0,28.0,36.0
20190224,0,Liaoyuan,Jilin,60.0,1.05,1.0,17.0,29.0,84.0,95.0,71.0,87.0,52.0,95.0,42.0,80.0,25.0,13.0
20190224,0,Lijiang,Yunnan,36.0,0.767,0.733,6.0,7.0,74.0,80.0,70.0,75.0,22.0,28.0,13.0,11.0,7.0,7.0
20190224,0,Lincang,Yunnan,65.0,0.95,0.85,23.0,13.0,46.0,99.0,77.0,95.0,61.0,63.0,46.0,46.0,10.0,10.0
20190224,0,Linfen,Shanxi,195.0,2.113,2.213,56.0,54.0,58.0,140.0,83.0,112.0,191.0,189.0,146.0,142.0,67.0,72.0
20190224,0,Linyi,Shandong,199.0,1.375,1.575,83.0,67.0,35.0,125.0,60.0,107.0,223.0,228.0,149.0,152.0,34.0,28.0
20190224,0,Lishui,Zhejiang,32.0,0.867,0.867,21.0,15.0,39.0,79.0,49.0,74.0,29.0,25.0,22.0,20.0,5.0,5.0
20190224,0,Liupanshui,Guizhou,25.0,1.1,1.12,20.0,26.0,43.0,69.0,40.0,54.0,20.0,30.0,17.0,19.0,14.0,17.0
20190224,0,Liuzhou,Guangxi,26.0,1.0,1.0170000000000001,19.0,16.0,39.0,49.0,39.0,42.0,21.0,18.0,18.0,15.0,19.0,13.0
20190224,0,Longnan,Gansu,44.0,0.7,0.95,14.0,27.0,83.0,103.0,87.0,95.0,42.0,48.0,29.0,29.0,5.0,7.0
20190224,0,Longyan,Fujian,11.0,0.975,0.975,13.0,15.0,18.0,43.0,19.0,38.0,6.0,24.0,4.0,16.0,4.0,7.0
20190224,0,Loudi,Hunan,33.0,0.45,0.625,13.0,13.0,59.0,82.0,65.0,78.0,27.0,41.0,17.0,27.0,3.0,3.0
20190224,0,Lu'an,Anhui,149.0,1.1,0.85,98.0,52.0,26.0,108.0,54.0,84.0,155.0,96.0,114.0,74.0,5.0,5.0
20190224,0,Luohe,Henan,217.0,1.075,1.05,58.0,46.0,62.0,141.0,78.0,117.0,189.0,160.0,166.0,141.0,8.0,10.0
20190224,0,Luoyang,Henan,275.0,1.643,1.6569999999999998,107.0,77.0,17.0,157.0,66.0,130.0,301.0,289.0,224.0,235.0,12.0,14.0
20190224,0,Luzhou,Sichuan,94.0,0.775,0.825,36.0,38.0,5.0,29.0,6.0,18.0,81.0,107.0,70.0,88.0,7.0,12.0
20190224,0,Lüliang,Shanxi,115.0,1.367,1.2670000000000001,101.0,62.0,4.0,114.0,40.0,88.0,156.0,118.0,86.0,71.0,90.0,68.0
20190224,0,Ma'anshan,Anhui,186.0,1.66,1.5,61.0,59.0,7.0,59.0,24.0,40.0,171.0,123.0,140.0,105.0,15.0,22.0
