date,hour,location,province,AQI,CO,CO_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,PM10,PM10_24h,PM2_5,PM2_5_24h,SO2,SO2_24h
20200328,0,Pu'er,Yunnan,85.0,0.65,0.75,18.0,28.0,77.0,158.0,114.0,149.0,94.0,84.0,63.0,63.0,3.0,4.0
20200328,0,Putian,Fujian,23.0,0.47,0.53,8.0,18.0,74.0,137.0,87.0,109.0,13.0,44.0,5.0,27.0,5.0,7.0
20200328,0,Puyang,Henan,56.0,0.63,0.43,62.0,20.0,13.0,81.0,55.0,77.0,62.0,38.0,27.0,10.0,7.0,6.0
20200328,0,Qingdao,Shandong,26.0,0.4,0.35,27.0,13.0,51.0,78.0,64.0,73.0,26.0,76.0,6.0,9.0,7.0,6.0
20200328,0,Qingyang,Gansu,38.0,0.65,0.7,18.0,17.0,44.0,90.0,63.0,83.0,38.0,38.0,26.0,22.0,12.0,11.0
20200328,0,Qingyuan,Guangdong,22.0,0.55,0.55,15.0,26.0,71.0,93.0,71.0,73.0,11.0,25.0,9.0,14.0,5.0,6.0
20200328,0,Qinhuangdao,Hebei,31.0,0.22,0.52,20.0,18.0,58.0,87.0,66.0,83.0,31.0,37.0,10.0,12.0,11.0,8.0
20200328,0,Qinzhou,Guangxi,63.0,2.33,1.23,47.0,30.0,10.0,49.0,24.0,42.0,75.0,55.0,30.0,25.0,9.0,15.0
20200328,0,Qiqihar,Heilongjiang,22.0,0.3,0.32,5.0,8.0,57.0,74.0,63.0,72.0,22.0,34.0,12.0,13.0,4.0,6.0
20200328,0,Qitaihe,Heilongjiang,31.0,0.6,0.6,20.0,18.0,61.0,86.0,74.0,82.0,31.0,65.0,21.0,19.0,6.0,4.0
20200328,0,Quanzhou,Fujian,29.0,0.4,0.53,15.0,25.0,64.0,142.0,55.0,73.0,20.0,43.0,20.0,27.0,4.0,4.0
20200328,0,Qujing,Yunnan,64.0,0.7,0.65,16.0,17.0,114.0,165.0,135.0,144.0,78.0,63.0,43.0,32.0,12.0,15.0
20200328,0,Quzhou,Zhejiang,13.0,0.53,0.63,24.0,25.0,42.0,83.0,43.0,56.0,12.0,25.0,7.0,14.0,2.0,4.0
20200328,0,Rizhao,Shandong,47.0,0.5,0.33,11.0,11.0,72.0,91.0,74.0,85.0,47.0,59.0,10.0,9.0,6.0,4.0
20200328,0,Sanmenxia,Henan,53.0,0.6,0.5,44.0,24.0,6.0,69.0,27.0,60.0,55.0,32.0,25.0,19.0,3.0,3.0
